CENTROID_ID,NEAREST_CENTROIDS_DISTANCE,PULocationID,BinNum,duration,num_trips
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.7626107226168497""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.5883192003525242""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.6292093916281538""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.71161079461151""
  }]
}",163,12,12.09160305,131
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.10555037220237795""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.1262930632471444""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.1844111247735336""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.66475199213941""
  }]
}",224,3,14.12903226,31
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.9296520128885386""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.2432436126365491""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.4053254812828249""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5574633817076915""
  }]
}",107,6,21.92771084,83
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.9394898075136523""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.1749862589873856""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.5901368712854711""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.4732381443611633""
  }]
}",41,7,16.38,200
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.0954477568006347""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.6138908742543281""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.4622536898491645""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.2796567687179579""
  }]
}",237,8,9.791171477,589
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.78486979841461779""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.3797996270250756""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.7065006886025538""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.2019310206529887""
  }]
}",79,1,16.51658163,784
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.27953597514738948""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.1601899491906984""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.3507966084868479""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.649916239139662""
  }]
}",41,3,12.59459459,74
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.1176838490047254""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.9233918492364697""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""3.227350450334741""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7343210572896659""
  }]
}",74,1,7.213930348,201
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.72297365413476766""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.7554636276134268""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.7947899810835217""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6774810649716159""
  }]
}",163,1,11.4180791,177
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.70530276461113617""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.4232460705705279""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.5348186381615903""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5944131052727055""
  }]
}",232,6,23.82,50
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.51797719669553188""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.7641948893672355""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.0040243579693877""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.29001269168245""
  }]
}",239,9,14.03816794,524
